source_system,source_ref,category,entity_type,plate,person_ref,severity,valid_from,valid_to,active,make,model,colour,owner_ref,rc_status,dl_no,holder_ref,dl_valid_to,fir_ref,police_station,wanted_status,subject_ref,note,provenance
VAHAN,VH-STO-0050,stolen_vehicle,vehicle,GJ36JB5855,,high,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Tata,Ace,yellow,VAHAN-OWNER-4519,active,,,,FIR/2026/815,Navrangpura PS,stolen,,synthetic stolen vehicle record — window closed,synthetic
VAHAN,VH-STO-0051,stolen_vehicle,vehicle,GJ28LB7597,,critical,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hyundai,Creta,red,VAHAN-OWNER-1923,active,,,,FIR/2024/915,Bopal PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0052,stolen_vehicle,vehicle,MP04PM1683,,high,2026-01-01T00:00:00Z,,true,TVS,Jupiter,yellow,VAHAN-OWNER-6099,active,,,,FIR/2026/970,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0053,stolen_vehicle,vehicle,GJ08YM2730,,high,2026-01-01T00:00:00Z,,true,Eicher,Pro 2049,silver,VAHAN-OWNER-2794,active,,,,FIR/2026/445,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0054,stolen_vehicle,vehicle,GJ01TR6240,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Mahindra,Bolero,black,VAHAN-OWNER-3159,active,,,,FIR/2025/741,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0055,stolen_vehicle,vehicle,GJ11TW1916,,high,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Ertiga,red,VAHAN-OWNER-0129,active,,,,FIR/2024/906,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0056,stolen_vehicle,vehicle,GJ18YA3278,,high,2026-01-01T00:00:00Z,,true,Eicher,Pro 2049,grey,VAHAN-OWNER-1418,active,,,,FIR/2024/878,Sabarmati PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0057,stolen_vehicle,vehicle,GJ30MR3646,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Tata,Ace,white,VAHAN-OWNER-5505,active,,,,FIR/2024/410,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0058,stolen_vehicle,vehicle,GJ25U7982,,high,2026-01-01T00:00:00Z,,true,Ashok Leyland,Dost,silver,VAHAN-OWNER-1641,active,,,,FIR/2025/335,Satellite PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0059,stolen_vehicle,vehicle,GJ25ZD8999,,high,2026-01-01T00:00:00Z,,true,Tata,Ace,black,VAHAN-OWNER-9808,active,,,,FIR/2025/372,Satellite PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0060,stolen_vehicle,vehicle,GJ05PT8551,,high,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Maruti Suzuki,Alto,maroon,VAHAN-OWNER-2585,active,,,,FIR/2025/325,Bopal PS,stolen,,synthetic stolen vehicle record — window closed,synthetic
VAHAN,VH-STO-0061,stolen_vehicle,vehicle,GJ09CS4314,,high,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Swift,red,VAHAN-OWNER-0720,active,,,,FIR/2025/175,Ranip PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0062,stolen_vehicle,vehicle,GJ13LM9771,,high,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Alto,brown,VAHAN-OWNER-9792,active,,,,FIR/2026/091,Naroda PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0063,stolen_vehicle,vehicle,GJ18RD3117,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hyundai,i20,black,VAHAN-OWNER-9375,active,,,,FIR/2024/645,Satellite PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0064,stolen_vehicle,vehicle,GJ20BC6464,,high,2026-01-01T00:00:00Z,,true,Hyundai,Creta,silver,VAHAN-OWNER-9884,active,,,,FIR/2026/251,Ghatlodia PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0065,stolen_vehicle,vehicle,GJ16FL6051,,high,2026-01-01T00:00:00Z,,true,Eicher,Pro 2049,brown,VAHAN-OWNER-2116,active,,,,FIR/2026/671,Navrangpura PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0066,stolen_vehicle,vehicle,MH12VS5156,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Tata,Nexon,grey,VAHAN-OWNER-2366,active,,,,FIR/2026/671,Sabarmati PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0067,stolen_vehicle,vehicle,GJ05AP1488,,high,2026-01-01T00:00:00Z,,true,Hero,Splendor,brown,VAHAN-OWNER-3113,active,,,,FIR/2026/425,Ranip PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0068,stolen_vehicle,vehicle,GJ37XH5915,,critical,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Swift,yellow,VAHAN-OWNER-2719,active,,,,FIR/2026/402,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0069,stolen_vehicle,vehicle,GJ08QF4162,,high,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hyundai,Creta,grey,VAHAN-OWNER-5347,active,,,,FIR/2026/161,Maninagar PS,stolen,,synthetic stolen vehicle record,synthetic
VAHAN,VH-STO-0070,stolen_vehicle,vehicle,GJ31LL4357,,high,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Mahindra,Bolero,red,VAHAN-OWNER-7337,active,,,,FIR/2026/625,Vastrapur PS,stolen,,synthetic stolen vehicle record — window closed,synthetic
eGujCop,BL-BLA-0001,blacklisted_vehicle,vehicle,GJ23KV4392,,medium,2026-01-01T00:00:00Z,,true,Honda,City,maroon,VAHAN-OWNER-0171,suspended,,,,FIR/2024/477,Ranip PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0002,blacklisted_vehicle,vehicle,GJ37AH9407,,medium,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Ertiga,maroon,VAHAN-OWNER-1747,suspended,,,,FIR/2026/914,Vastrapur PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0003,blacklisted_vehicle,vehicle,GJ13YN5517,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Eicher,Pro 2049,brown,VAHAN-OWNER-9675,suspended,,,,FIR/2026/089,Ghatlodia PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0004,blacklisted_vehicle,vehicle,MP04Y5964,,medium,2026-01-01T00:00:00Z,,true,Hyundai,i20,grey,VAHAN-OWNER-9073,suspended,,,,FIR/2024/965,Satellite PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0005,blacklisted_vehicle,vehicle,GJ29GQ6360,,medium,2026-01-01T00:00:00Z,,true,Bajaj,Pulsar,white,VAHAN-OWNER-7086,suspended,,,,FIR/2024/694,Navrangpura PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0006,blacklisted_vehicle,vehicle,GJ05AG4150,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Toyota,Innova,black,VAHAN-OWNER-3945,suspended,,,,FIR/2026/871,Ranip PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0007,blacklisted_vehicle,vehicle,GJ21W9711,,medium,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Ertiga,maroon,VAHAN-OWNER-5313,suspended,,,,FIR/2024/117,Navrangpura PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0008,blacklisted_vehicle,vehicle,GJ26PN6921,,medium,2026-01-01T00:00:00Z,,true,TVS,Jupiter,silver,VAHAN-OWNER-3725,suspended,,,,FIR/2025/712,Bopal PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0009,blacklisted_vehicle,vehicle,RJ45RK6266,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Mahindra,Scorpio,yellow,VAHAN-OWNER-0983,suspended,,,,FIR/2024/458,Vastrapur PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0010,blacklisted_vehicle,vehicle,GJ34XY1037,,medium,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Mahindra,Bolero,white,VAHAN-OWNER-4740,suspended,,,,FIR/2025/944,Ranip PS,blacklisted,,synthetic blacklisted vehicle record — window closed,synthetic
eGujCop,BL-BLA-0011,blacklisted_vehicle,vehicle,GJ19S9715,,medium,2026-01-01T00:00:00Z,,true,Bajaj,Pulsar,blue,VAHAN-OWNER-6963,suspended,,,,FIR/2024/041,Sabarmati PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0012,blacklisted_vehicle,vehicle,GJ38KB4937,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hyundai,Creta,silver,VAHAN-OWNER-7748,suspended,,,,FIR/2026/589,Bopal PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0013,blacklisted_vehicle,vehicle,GJ23YJ5401,,medium,2026-01-01T00:00:00Z,,true,Mahindra,Scorpio,grey,VAHAN-OWNER-1926,suspended,,,,FIR/2024/852,Maninagar PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0014,blacklisted_vehicle,vehicle,GJ02Z6808,,medium,2026-01-01T00:00:00Z,,true,Hyundai,i20,white,VAHAN-OWNER-5281,suspended,,,,FIR/2024/362,Satellite PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0015,blacklisted_vehicle,vehicle,GJ03TP7873,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Tata,Nexon,brown,VAHAN-OWNER-8161,suspended,,,,FIR/2026/764,Ranip PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0016,blacklisted_vehicle,vehicle,GJ26Q6014,,medium,2026-01-01T00:00:00Z,,true,Hyundai,i20,silver,VAHAN-OWNER-5169,suspended,,,,FIR/2025/873,Ghatlodia PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0017,blacklisted_vehicle,vehicle,GJ18DH9401,,critical,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Ertiga,white,VAHAN-OWNER-2861,suspended,,,,FIR/2026/004,Ghatlodia PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0018,blacklisted_vehicle,vehicle,GJ27WM6113,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Hyundai,i20,black,VAHAN-OWNER-0469,suspended,,,,FIR/2026/421,Sabarmati PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0019,blacklisted_vehicle,vehicle,MH43PM7944,,medium,2026-01-01T00:00:00Z,,true,Ashok Leyland,Dost,red,VAHAN-OWNER-0663,suspended,,,,FIR/2024/987,Satellite PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0020,blacklisted_vehicle,vehicle,GJ12XC3992,,medium,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,true,Maruti Suzuki,Alto,maroon,VAHAN-OWNER-4093,suspended,,,,FIR/2026/503,Maninagar PS,blacklisted,,synthetic blacklisted vehicle record — window closed,synthetic
eGujCop,BL-BLA-0021,blacklisted_vehicle,vehicle,GJ22V2784,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Toyota,Innova,yellow,VAHAN-OWNER-2616,suspended,,,,FIR/2024/022,Ranip PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0022,blacklisted_vehicle,vehicle,GJ13TR5782,,medium,2026-01-01T00:00:00Z,,true,TVS,Jupiter,yellow,VAHAN-OWNER-9175,suspended,,,,FIR/2025/302,Maninagar PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0023,blacklisted_vehicle,vehicle,GJ22P5889,,medium,2026-01-01T00:00:00Z,,true,Hero,Splendor,red,VAHAN-OWNER-6767,suspended,,,,FIR/2024/261,Ghatlodia PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0024,blacklisted_vehicle,vehicle,GJ01WJ5218,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,Toyota,Innova,maroon,VAHAN-OWNER-1953,suspended,,,,FIR/2024/478,Vastrapur PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0025,blacklisted_vehicle,vehicle,GJ10MH8193,,medium,2026-01-01T00:00:00Z,,true,Maruti Suzuki,Ertiga,maroon,VAHAN-OWNER-4501,suspended,,,,FIR/2024/047,Navrangpura PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0026,blacklisted_vehicle,vehicle,GJ30HE1113,,medium,2026-01-01T00:00:00Z,,true,Toyota,Innova,silver,VAHAN-OWNER-3511,suspended,,,,FIR/2026/494,Ghatlodia PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0027,blacklisted_vehicle,vehicle,RJ14PU7628,,medium,2026-01-01T00:00:00Z,2027-12-31T00:00:00Z,true,TVS,Jupiter,yellow,VAHAN-OWNER-3815,suspended,,,,FIR/2025/639,Vastrapur PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
eGujCop,BL-BLA-0028,blacklisted_vehicle,vehicle,MH12DU1949,,medium,2026-01-01T00:00:00Z,,true,Tata,Nexon,maroon,VAHAN-OWNER-5781,suspended,,,,FIR/2025/390,Vastrapur PS,blacklisted,,synthetic blacklisted vehicle record,synthetic
